county,location,address,city,zip,longitude,latitude,6/22/15,6/23/15,6/24/15,6/25/15,6/26/15,6/27/15,6/28/15,6/29/15,6/30/15,7/1/15,7/2/15,7/3/15,7/4/15,7/5/15,7/6/15,7/7/15,7/8/15,7/9/15,7/10/15
Baldwin,121 N Wilkinson St,Ste 104,Milledgeville,31061,-83.2285435,33.0815549,,,,,,,,,,,,,,,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM
Ben Hill,Ben Hill Elections Office,115 W Pine Street,Fitzgerald,31750,-83.2552197,31.7139029,7:30 AM - 3:45 PM,7:30 AM - 3:45 PM,7:30 AM - 3:45 PM,7:30 AM - 3:45 PM,7:30 AM - 3:45 PM,9:00 AM - 4:00 PM,,7:30 AM - 3:45 PM,7:30 AM - 3:45 PM,7:30 AM - 3:45 PM,7:30 AM - 3:45 PM,7:30 AM - 3:45 PM,9:00 AM - 4:00 PM,,7:30 AM - 3:45 PM,7:30 AM - 3:45 PM,7:30 AM - 3:45 PM,7:30 AM - 3:45 PM,7:30 AM - 3:45 PM
Cook,Cook County Administration Building,1200 S Hutchinson Ave,Adel,31620,-83.4167206,31.12107,,,,,,,,,,,,,,,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM
DeKalb,"Memorial Drive Complex, Suite 300",4380 Memorial Drive,Decatur,30032,-84.2466489,33.7779683,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,,,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,,9:00 AM - 4:00 PM,,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM
Forsyth,"Voter Registrations & Elections Office, Forsyth County Administration Bldg",110 East Main Street,Cumming,30040,-84.13868,34.2073343,,,,,,,,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,,,,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 5:00 PM
Forsyth,Midway Park Community Building,5100 Post Road,Cumming,30040,-84.215062,34.2024959,,,,,,,,,,,,,,,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 5:00 PM
Fulton,Buckhead Library (HD 55 Only),269 Buckhead Avenue NE,Atlanta,30305,-84.3792862,33.8377839,,,,,,,,,,,,,,,,,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM
Houston,Board of Elections,801 Main Street,Perry,31069,-83.7339299,32.4577932,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,,,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,,9:00 AM - 4:00 PM,,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM
Houston,Central Georgia Technical College,80 Cohen Walker Dr.,Warner Robins,31088,-83.668172,32.5457645,,,,,,,,,,,,,,,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM
Tift,Board of Elections and Registration,222 Chestnut Avenue,Tifton,,-83.5059805,31.455086,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,,,,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,,9:00 AM - 4:00 PM,,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM
Wayne,Wayne County Courthouse Registrar's Office,174 North Brunswick Street,Jesup,31546,-81.879965,31.6041842,,,,,,,,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM
