"county","location","address","city","zip","value","longitude","latitude","v2015.05.26","v2015.05.27","v2015.05.28","v2015.05.29","v2015.05.30","v2015.05.31","v2015.06.01","v2015.06.02","v2015.06.03","v2015.06.04","v2015.06.05","v2015.06.06","v2015.06.07","v2015.06.08","v2015.06.09","v2015.06.10","v2015.06.11","v2015.06.12"
"Baldwin","121 N Wilkinson St","Ste 104","Milledgeville, GA  31061","31061",5,-83.2285435,33.0815549,"8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM",NA,NA,"8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM",NA,NA,"8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM"
"Ben Hill","Ben Hill Elections Office","115 W Pine Street","Fitzgerald, GA  31750","31750",9,-83.2552197,31.7139029,"7:30 AM - 4:00 PM","7:30 AM - 4:00 PM","7:30 AM - 4:00 PM","7:30 AM - 4:00 PM",NA,NA,"7:30 AM - 4:00 PM","7:30 AM - 4:00 PM","7:30 AM - 4:00 PM","7:30 AM - 4:00 PM","7:30 AM - 4:00 PM",NA,NA,"7:30 AM - 4:00 PM","7:30 AM - 4:00 PM","7:30 AM - 4:00 PM","7:30 AM - 4:00 PM","7:30 AM - 4:00 PM"
"Camden","Voter Registration","200 E 4th St","Woodbine, GA  31569","31569",20,-81.721063,30.9681185,"8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM",NA,NA,"8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM",NA,NA,"8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM"
"Clayton","Clayton County Elections and Registration","121 S. McDonough Street","Jonesboro, GA  30236","30236",31,-84.353608,33.52071,"8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM",NA,NA,"8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM",NA,NA,"8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM"
"Cook","Cook County Administration Building","1200 S Hutchinson Ave","Adel, GA  31620","31620",37,-83.4167206,31.12107,"8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM",NA,NA,"8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM",NA,NA,"8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM"
"DeKalb","Memorial Drive Complex, Suite 300","4380 Memorial Drive","Decatur, GA  30032","30032",44,-84.2466489,33.7779683,"8:30 AM - 4:00 PM","8:30 AM - 4:00 PM","8:30 AM - 4:00 PM","8:30 AM - 4:00 PM",NA,NA,"8:30 AM - 4:00 PM","8:30 AM - 4:00 PM","8:30 AM - 4:00 PM","8:30 AM - 4:00 PM","8:30 AM - 4:00 PM",NA,NA,"8:30 AM - 4:00 PM","8:30 AM - 4:00 PM","8:30 AM - 4:00 PM","8:30 AM - 4:00 PM","8:30 AM - 4:00 PM"
"Early","Elections and Registration Office","15157 River Street","Blakely, GA","",49,-84.9434666,31.3787738,"8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM",NA,NA,"8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM",NA,NA,"8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM"
"Forsyth","Cumming City Hall","100 Main Street","Cumming, GA  30040","30040",58,-84.1395336,34.2073259,"8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM",NA,NA,"8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","9:00 AM - 4:00 PM",NA,"8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 7:00 PM","8:00 AM - 7:00 PM"
"Forsyth","Midway Park Community Building","5100 Post Road","Cumming, GA  30040","30040",58,-84.215062,34.2024959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9:00 AM - 4:00 PM",NA,"8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 7:00 PM","8:00 AM - 7:00 PM"
"Forsyth","Voter Registrations & Elections Office, Forsyth County Administration Bldg","110 East Main Street","Cumming, GA  30040","30040",58,-84.13868,34.2073343,"8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM",NA,NA,"8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","9:00 AM - 4:00 PM",NA,"8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 7:00 PM","8:00 AM - 7:00 PM"
