longitude,latitude,county,location,address,city
-84.492061,33.754541,Fulton,Adamsville Recreation Center,"3201 MLK Jr. Drive, SW","Atlanta, GA  30311"
-84.391737,33.8753238,Fulton,Chastian Park Gymnasium,"140 West Wieuca Road, NW","Atlanta, GA  30342"
-84.392639,33.7511493,Fulton,Fulton County Government Center,"130 Peachtree Street, SW","Atlanta, GA  30303"
-84.2655154,33.9773142,Fulton,Johns Creek Environmental Campus,8100 Holcomb Bridge Road,"Alpharetta, GA  30022"
-84.3627312,33.9657187,Fulton,North Fulton Annex,"7741 Roswell Road, Suite 224","Atlanta, GA  30350"
-84.4254094,33.8451648,Fulton,Northside Branch Library,3295 Northside Parkway,"Atlanta, GA  30327"
-84.2095934,34.0645505,Fulton,Ocee Library,5090 Abbotts Bridge Road,"Alpharetta, GA  30005"
-84.2947595,34.0725744,Fulton,Roswell Branch Library,115 Norcross Street,"Roswell, GA  30075"
-84.5498808,33.6014156,Fulton,South Fulton Annex,"5600 Stonewall Tell Road, Room 108","College Park, GA  30349"
-84.450878,33.655064,Fulton,College Park Historical Building,3675 Auditorium Way,"College Park, GA  30337"
-84.440535,33.680195,Fulton,East Point Branch Library,2757 Main Street,"East Point, GA  30344"
-84.5846062,33.5669263,Fulton,Fairburn Library,60 Valley Drive,"Fairburn, GA  30213"
-84.3796499,33.7367318,Fulton,Georgia Hills Neighborhood Facility,"250 Georgia Avenue, SE","Atlanta , GA  30312"
-84.3793794,33.7370753,Fulton,Georgia Hill Building,"250 Georgia Avenue, SE","Atlanta, GA  30312"
-84.2227533,34.0147999,Fulton,Northeast/Spruill Oaks Library,9560 Spruill Road,"John Creeks, GA  30022"
-84.3740999,33.9244086,Fulton,Sandy Springs Branch Library,"395 Mount Vernon Highway, NE","Sandy Springs, GA  30328"
-84.5415544,33.7296843,Fulton,Southwest Arts Center,"915 New Hope Road, SW","Atlanta, GA  30331"
-84.2989111,34.0768876,Fulton,The Milton Center,86 School Drive,"Alpharetta, GA  30004"
-84.4237409,33.7540521,Fulton,Washington Park Library,"1116 MLK JR. Drive, SW","Atlanta, GA  30314"
-84.5284217,33.6331104,Fulton,Welcome All Park Recreation Center,4255 Will Lee Road,"College Park, GA  30349"
-84.2466489,33.7779683,DeKalb,"Memorial Drive Complex, Suite 300",4380 Memorial Drive,"Decatur, GA  30032"
-84.2748457,33.7087634,DeKalb,The Gallery at South DeKalb Mall,2801 Candler Road,"Decatur, GA  30034"
-84.220701,33.855758,DeKalb,Tucker Recreation Center,4898 LaVista Road,"Tucker, GA  30084"
-84.299345,33.896014,DeKalb,Chamblee Civic Center,3540 Broad Street,"Chamblee, GA  30341"
-84.178803,33.733515,DeKalb,Berean Christian Church Community Center,2440 Young Road,"Stone Mountain, GA  30088"
-84.334038,33.87074,DeKalb,Brookhaven City Hall,4362 Peachtree Road NE,"Brookhaven, GA  30319"
-84.3006403,33.775326,DeKalb,Clark Harrison Center - Decatur,"330 West Ponce de Leon Ave., Room A","Decatur, GA  30030"
-83.9829774,33.93861,Gwinnett,Voter Registration and Elections Main Office,"455 Grayson Highway, Suite 200","Lawrenceville, GA  30046"
-83.9691803,34.1072984,Gwinnett,Bogan Park Community Recreation Center,2723 North Bogan Road,"Buford, GA  30518"
-84.049469,33.8168329,Gwinnett,Centerville Community Center,3025 Bethany Church Road,"Snellville, GA  30039"
-83.8921146,33.9961374,Gwinnett,Dacula Activity Building,2735 Old Auburn Road,"Dacula, GA  30019"
-84.0506174,34.0595517,Gwinnett,George Pierce Park Community Recreation Center,55 Buford Highway,"Suwanee, GA  30024"
-84.001639,33.790141,Gwinnett,Lenora Park Activity Room,4515 Lenora Church Road,"Snellville, GA  30078"
-84.1978186,33.8821369,Gwinnett,Lucky Shoals Park Community Recreation Center,4651 Britt Road,"Norcross, GA  30039"
-84.5739717,33.9535641,Cobb,MAIN OFFICE,736 Whitlock Ave.,"Marietta, GA  30064"
-84.4228727,33.9632547,Cobb,"EAST, East Cobb Government Svcs. Center",4400 Lower Roswell Rd.,"Marietta, GA  30068-4233"
-84.571845,33.8185969,Cobb,"SOUTH, South Cobb Community Center",620 Lions Club Dr.,"Mableton, GA  30126-2438"
-84.6950732,33.9421345,Cobb,"WEST, Boots Ward Recreation Center (Lost Mountain Park)",4845 Dallas Hwy.,"Powder Springs, GA  30127-4486"
-84.6517694,34.0360177,Cobb,"NORTH, NorthStar Church","3413 Blue Springs Rd., NW","Kennesaw, GA  30144-1082"
-84.5258519,34.0514598,Cobb,"NORTHEAST, Noonday Baptist Church Sanctuary",4120 Canton Rd.,"Marietta, GA  30066-2714"
-84.504898,33.8907475,Cobb,"SMYRNA, Windy Hill Community Center",1885 Roswell St. SE,"Smyrna, GA  30080-2213"
-84.7305898,33.7434934,Douglas,Board of Elections and Registration,8700 Hospital Drive,"Douglasville, GA  30134"
-84.6580816,33.6709096,Douglas,Boundary Waters Aquatic Center,5000 Ga. Hwy 92,"Douglasville, GA  30135"
-84.684364,33.7491739,Douglas,Deer Lick Park Recreation Center,2105 Mack Road,"Douglasville, GA  30135"
-84.8315887,33.6418986,Douglas,Dog River Library,6100 Ga. Hwy 5,"Douglasville, GA  30135"
-84.7504251,33.7496736,Douglas,Old Douglas County Courthouse,6745 Church Street,"Douglasville, GA  30134"
-84.8141196,34.2062407,Bartow,Bartow County Voter Registration Office,1300 Joe Frank Harris Pkwy,"Cartersville, GA  30120"
-84.9349219,34.367663,Bartow,Adairsville Interim City Hall,101 Public Square,"Adairsville, GA  30103"
-84.805994,34.164961,Bartow,Cartersville Civic Center,435 West Main Street,"Cartersville, GA"
-84.487127,34.236605,Cherokee,Cherokee County Elections & Registration,400 East Main Street,"Canton, GA  30114"
-84.3781149,34.340435,Cherokee,Ball Ground Public Library,435 Old Canton Road,"Ball Ground, GA  30107"
-84.4214352,34.1704298,Cherokee,Hickory Flat Public Library,2740 East Cherokee Drive,"Canton, GA  30115"
-84.5440235,34.1057048,Cherokee,Rose Creek Public Library,4476 Towne Lake Parkway,"Woodstock, GA  30189"
-84.5144904,34.1127015,Cherokee,Woodstock Public Library,7735 Main Street,"Woodstock, GA  30188"
-84.1395336,34.2073259,Forsyth,Cumming City Hall,100 Main Street,"Cumming, GA  30040"
-84.0676029,34.3052558,Forsyth,Hampton Park Library,5345 Settingdown Rd,"Cumming, GA  30041"
-84.215062,34.2024959,Forsyth,Midway Park Community Building,5100 Post Road,"Cumming, GA  30040"
-84.163131,34.1180612,Forsyth,Sharon Springs Park Community Building,1950 Sharon Road,"Cumming, GA  30041"
-84.13868,34.2073343,Forsyth,"Voter Registrations & Elections Office, Forsyth County Administration Bldg",110 East Main Street,"Cumming, GA  30040"
-83.8769938,34.2776167,Hall,Hall County Board of Elections and Voter Registrat,2875 Browns Bridge Road,"Gainesville, GA  30501"
-84.847128,33.917349,Paulding,"Board of Elections and Registration, Watson Government Complex, First Floor",240 Constitution Blvd.,"Dallas, GA  30132"
-84.8415947,34.0352083,Paulding,Burnt Hickory Park,8650 Cartersville Hwy,"Dallas, GA  30132"
